worker_id,name,shift_id,shift_start,shift_end,primary_role,secondary_role,experience_years,availability,overtime_eligible,last_training_date
W050,Worker_050,SHIFT_3,22:00,06:00,ENGINE_TECHNICIAN,LOGISTICS_COORDINATOR,10.1,1,True,2026-05-15
W051,Worker_051,SHIFT_3,22:00,06:00,QUALITY_INSPECTOR,ENGINE_TECHNICIAN,17.2,0,True,2025-08-13
W052,Worker_052,SHIFT_3,22:00,06:00,ENGINE_TECHNICIAN,BODY_TECHNICIAN,8.7,1,True,2025-08-21
W053,Worker_053,SHIFT_3,22:00,06:00,QUALITY_INSPECTOR,ENGINE_TECHNICIAN,12.8,0,False,2025-07-12
W054,Worker_054,SHIFT_3,22:00,06:00,QUALITY_INSPECTOR,LOGISTICS_COORDINATOR,10.9,0,False,2026-03-01
W055,Worker_055,SHIFT_3,22:00,06:00,LOGISTICS_COORDINATOR,BODY_TECHNICIAN,5.5,1,False,2026-04-07
W056,Worker_056,SHIFT_3,22:00,06:00,LOGISTICS_COORDINATOR,BODY_TECHNICIAN,9.7,0,True,2026-06-09
W057,Worker_057,SHIFT_3,22:00,06:00,CHASSIS_TECHNICIAN,LOGISTICS_COORDINATOR,20.0,1,True,2026-05-07
W058,Worker_058,SHIFT_3,22:00,06:00,QUALITY_INSPECTOR,TRANSMISSION_TECHNICIAN,10.6,1,True,2025-12-17
W059,Worker_059,SHIFT_3,22:00,06:00,ENGINE_TECHNICIAN,BODY_TECHNICIAN,8.0,1,True,2025-11-01
W060,Worker_060,SHIFT_3,22:00,06:00,QUALITY_INSPECTOR,BODY_TECHNICIAN,12.6,1,True,2025-07-07
