Hour,Shift_ID,Scheduled_Parts,Traffic_Index,Current_Buffer_Pct,Quality_Fail_Flag,Machine_Fault_Flag,Actual_Arrival_Lag_Mins,Baseline_Downtime_Cost
74,1,50,2.27,95,0,0,2,0.0
75,1,50,2.42,94,0,0,0,0.0
76,1,50,2.54,93,0,0,1,0.0
77,1,50,2.66,94,0,0,8,0.0
78,1,50,2.22,93,0,0,3,0.0
79,1,50,2.12,93,0,0,3,0.0
80,2,50,2.62,97,0,0,4,0.0
81,2,50,3.89,94,0,0,6,0.0
82,2,50,4.89,98,0,0,6,0.0
83,2,50,5.0,100,0,0,5,0.0
84,2,50,5.0,100,0,0,6,0.0
85,2,50,5.0,100,0,0,8,0.0
86,2,50,5.0,98,0,0,6,0.0
87,2,50,5.0,100,0,0,3,0.0
88,3,50,4.28,100,0,0,2,0.0
89,3,50,3.96,100,0,0,5,0.0
90,3,50,3.43,100,0,0,2,0.0
91,3,50,2.79,100,0,0,1,0.0
92,3,50,2.79,100,0,0,39,4680.0
93,3,50,2.82,97,0,0,54,6480.0
94,3,50,2.7,99,0,0,58,6960.0
95,3,50,2.77,100,0,0,1,0.0
96,1,50,2.61,99,0,0,2,0.0
97,1,50,2.52,99,0,0,4,0.0
98,1,50,2.38,100,0,0,40,4800.0
99,1,50,1.99,100,0,0,52,6240.0
100,1,50,1.77,100,0,0,8,0.0
101,1,50,1.56,98,0,0,7,0.0
102,1,50,1.87,100,0,0,1,0.0
103,1,50,1.85,97,0,0,7,0.0
104,2,50,2.76,94,0,0,60,7200.0
105,2,50,4.08,94,0,0,69,8280.0
106,2,50,4.68,96,0,0,51,6120.0
107,2,50,5.0,93,0,0,1,0.0
108,2,50,5.0,90,0,0,0,0.0
109,2,50,5.0,94,0,0,23,2760.0
110,2,50,5.0,96,0,0,30,3600.0
111,2,50,5.0,93,0,0,6,0.0
112,3,50,3.92,97,0,0,2,0.0
113,3,50,3.74,94,0,0,2,0.0
114,3,50,3.53,92,0,1,94,5000.0
115,3,50,3.24,90,0,1,69,5000.0
116,3,50,3.22,88,0,0,3,0.0
117,3,50,3.16,87,0,0,4,0.0
118,3,50,2.65,85,0,0,3,0.0
119,3,50,2.83,84,0,0,1,0.0
120,1,50,2.68,84,0,1,82,5000.0
121,1,50,2.78,88,0,1,60,5000.0
122,1,50,2.92,85,0,0,2,0.0
123,1,50,2.58,89,0,0,3,0.0
124,1,50,2.19,92,0,0,6,0.0
125,1,50,2.0,90,0,0,0,0.0
126,1,50,2.02,90,0,0,1,0.0
127,1,50,2.33,87,0,0,0,0.0
128,2,50,3.61,87,0,0,6,0.0
129,2,50,3.96,89,0,0,1,0.0
130,2,50,4.84,90,0,0,2,0.0
131,2,50,5.0,87,0,1,87,5000.0
132,2,50,5.0,91,0,1,92,5000.0
133,2,50,5.0,88,0,0,1,0.0
134,2,50,5.0,87,0,0,2,0.0
135,2,50,5.0,89,0,0,7,0.0
136,3,50,4.04,92,0,0,6,0.0
137,3,50,3.52,94,0,0,4,0.0
138,3,50,3.29,91,0,0,8,0.0
139,3,50,2.88,91,0,0,8,0.0
140,3,50,3.04,94,0,0,7,0.0
141,3,50,3.15,97,0,0,6,0.0
142,3,50,2.69,100,0,0,6,0.0
143,3,50,2.56,100,0,0,2,0.0
144,1,50,2.32,100,0,0,8,0.0
145,1,50,2.14,100,0,0,1,0.0
146,1,50,1.82,98,0,0,8,0.0
147,1,50,2.03,96,0,0,73,8760.0
148,1,50,2.1,96,0,0,33,3960.0
149,1,50,1.81,94,0,0,64,7680.0
150,1,50,1.78,95,0,0,6,0.0
151,1,50,2.22,96,0,0,4,0.0
152,2,50,2.85,95,0,0,0,0.0
153,2,50,3.37,99,0,0,7,0.0
154,2,50,4.23,96,0,0,0,0.0
155,2,50,5.0,99,0,0,5,0.0
156,2,50,5.0,100,0,0,8,0.0
157,2,50,5.0,10,1,0,6,0.0
158,2,50,5.0,97,0,0,6,0.0
159,2,50,5.0,95,0,0,7,0.0
160,3,50,4.35,99,0,0,3,0.0
161,3,50,3.62,99,0,0,6,0.0
162,3,50,3.31,100,0,0,2,0.0
163,3,50,3.09,100,0,0,6,0.0
164,3,50,2.86,97,0,0,6,0.0
165,3,50,2.37,99,0,0,0,0.0
166,3,50,2.59,96,0,0,1,0.0
167,3,50,2.35,100,0,0,4,0.0
168,1,50,2.09,100,0,0,2,0.0
169,1,50,1.79,98,0,0,3,0.0
170,1,50,2.0,98,0,0,6,0.0
171,1,50,2.21,97,0,0,1,0.0
172,1,50,1.86,97,0,0,3,0.0
173,1,50,1.98,100,0,0,67,8040.0
174,1,50,1.86,100,0,0,5,0.0
175,1,50,2.08,98,0,0,5,0.0
176,2,50,2.65,12,1,0,2,0.0
177,2,50,3.74,100,0,0,8,0.0
178,2,50,4.49,97,0,0,7,0.0
179,2,50,5.0,99,0,0,58,6960.0
180,2,50,5.0,99,0,1,56,5000.0
181,2,50,5.0,97,0,1,49,5000.0
182,2,50,5.0,97,0,0,6,0.0
183,2,50,5.0,95,0,0,8,0.0
184,3,50,4.46,98,0,1,63,5000.0
185,3,50,3.61,95,0,1,89,5000.0
186,3,50,3.32,96,0,0,5,0.0
187,3,50,3.24,96,0,0,6,0.0
188,3,50,2.98,100,0,0,5,0.0
189,3,50,2.79,100,0,0,1,0.0
190,3,50,2.43,100,0,0,1,0.0
191,3,50,2.07,97,0,0,7,0.0
192,1,50,2.42,98,0,0,6,0.0
193,1,50,2.67,95,0,0,8,0.0
194,1,50,2.65,96,0,0,4,0.0
195,1,50,2.41,97,0,0,1,0.0
196,1,50,2.25,100,0,0,8,0.0
197,1,50,2.42,99,0,0,3,0.0
198,1,50,2.66,9,1,0,7,0.0
199,1,50,2.83,7,1,0,2,0.0
200,2,50,4.01,10,1,0,4,0.0
201,2,50,5.0,8,1,0,6,0.0
202,2,50,5.0,100,0,0,6,0.0
203,2,50,5.0,100,0,0,6,0.0
204,2,50,5.0,6,1,0,7,0.0
205,2,50,5.0,12,1,0,8,0.0
206,2,50,5.0,10,1,0,5,0.0
207,2,50,5.0,12,1,0,7,0.0
208,3,50,4.3,97,0,0,8,0.0
209,3,50,3.31,95,0,0,0,0.0
210,3,50,2.74,99,0,0,45,5400.0
211,3,50,2.63,100,0,0,6,0.0
212,3,50,2.66,100,0,0,8,0.0
213,3,50,2.65,98,0,0,0,0.0
214,3,50,2.32,99,0,0,6,0.0
215,3,50,2.46,99,0,0,4,0.0
216,1,50,2.2,100,0,0,6,0.0
217,1,50,2.08,100,0,0,5,0.0
218,1,50,2.32,100,0,0,0,0.0
219,1,50,2.41,100,0,0,0,0.0
220,1,50,2.62,97,0,0,6,0.0
221,1,50,2.63,5,1,0,2,0.0
222,1,50,2.57,98,0,0,5,0.0
223,1,50,2.17,100,0,0,6,0.0
224,2,50,2.93,100,0,0,3,0.0
225,2,50,3.57,100,0,0,4,0.0
226,2,50,4.17,100,0,0,5,0.0
227,2,50,5.0,100,0,0,7,0.0
228,2,50,5.0,100,0,0,7,0.0
229,2,50,5.0,100,0,0,2,0.0
230,2,50,5.0,100,0,1,83,5000.0
231,2,50,5.0,100,0,1,52,5000.0
232,3,50,4.18,100,0,1,111,5000.0
233,3,50,3.66,100,0,1,55,5000.0
234,3,50,3.23,100,0,1,87,5000.0
235,3,50,2.71,100,0,1,111,5000.0
236,3,50,2.74,100,0,0,6,0.0
237,3,50,2.43,100,0,0,49,5880.0
238,3,50,2.02,100,0,0,21,2520.0
239,3,50,2.2,98,0,0,3,0.0
240,1,50,1.97,98,0,0,1,0.0
241,1,50,2.38,97,0,0,8,0.0
242,1,50,2.68,95,0,0,1,0.0
243,1,50,2.87,94,0,0,2,0.0
244,1,50,2.58,93,0,0,2,0.0
245,1,50,2.12,90,0,0,3,0.0
246,1,50,2.48,91,0,0,6,0.0
247,1,50,2.36,95,0,0,2,0.0
248,2,50,3.75,94,0,0,47,5640.0
249,2,50,5.0,97,0,0,45,5400.0
250,2,50,5.0,97,0,0,2,0.0
251,2,50,5.0,97,0,0,4,0.0
252,2,50,5.0,95,0,0,3,0.0
253,2,50,5.0,95,0,0,1,0.0
254,2,50,5.0,95,0,0,6,0.0
255,2,50,5.0,97,0,0,5,0.0
256,3,50,4.22,94,0,0,1,0.0
257,3,50,3.95,93,0,0,30,3600.0
258,3,50,3.59,94,0,0,58,6960.0
259,3,50,3.24,92,0,0,41,4920.0
260,3,50,2.64,89,0,0,6,0.0
261,3,50,2.61,88,0,0,36,4320.0
262,3,50,2.87,91,0,0,35,4200.0
263,3,50,2.41,90,0,0,8,0.0
264,1,50,2.38,90,0,0,8,0.0
265,1,50,2.62,93,0,0,8,0.0
266,1,50,2.69,97,0,0,7,0.0
267,1,50,2.71,100,0,0,1,0.0
268,1,50,2.72,100,0,0,64,7680.0
269,1,50,2.47,100,0,0,74,8880.0
270,1,50,2.25,98,0,0,73,8760.0
271,1,50,2.48,13,1,0,3,0.0
272,2,50,3.7,5,1,0,8,0.0
273,2,50,4.96,9,1,0,1,0.0
274,2,50,5.0,100,0,0,6,0.0
275,2,50,5.0,100,0,0,62,7440.0
276,2,50,5.0,100,0,0,25,3000.0
277,2,50,5.0,100,0,0,7,0.0
278,2,50,5.0,100,0,1,76,5000.0
279,2,50,5.0,100,0,1,66,5000.0
280,3,50,4.4,100,0,0,1,0.0
281,3,50,4.05,100,0,0,48,5760.0
282,3,50,3.39,100,0,0,3,0.0
283,3,50,2.95,100,0,0,0,0.0
284,3,50,2.44,100,0,0,63,7560.0
285,3,50,2.44,100,0,0,8,0.0
286,3,50,2.03,97,0,0,7,0.0
287,3,50,2.07,95,0,0,43,5160.0
288,1,50,2.16,5,1,0,8,0.0
289,1,50,2.03,100,0,0,3,0.0
290,1,50,2.16,97,0,0,4,0.0
291,1,50,1.84,100,0,0,0,0.0
292,1,50,1.61,100,0,1,46,5000.0
293,1,50,2.05,100,0,0,6,0.0
294,1,50,2.0,100,0,0,3,0.0
295,1,50,1.8,12,1,0,1,0.0
296,2,50,2.73,98,0,0,4,0.0
297,2,50,3.9,95,0,1,74,5000.0
298,2,50,4.47,93,0,1,90,5000.0
299,2,50,5.0,90,0,1,45,5000.0
300,2,50,5.0,91,0,1,117,5000.0
301,2,50,5.0,94,0,1,90,5000.0
302,2,50,5.0,92,0,0,8,0.0
303,2,50,5.0,92,0,0,2,0.0
304,3,50,4.28,91,0,0,55,6600.0
305,3,50,3.84,91,0,0,5,0.0
306,3,50,3.72,90,0,0,1,0.0
307,3,50,3.29,90,0,0,0,0.0
308,3,50,2.85,91,0,0,6,0.0
309,3,50,2.89,89,0,0,6,0.0
310,3,50,2.53,86,0,0,8,0.0
311,3,50,2.4,88,0,0,6,0.0
312,1,50,2.04,88,0,0,1,0.0
313,1,50,1.74,10,1,0,3,0.0
314,1,50,2.24,90,0,0,4,0.0
315,1,50,2.5,88,0,0,7,0.0
316,1,50,2.57,90,0,0,5,0.0
317,1,50,2.41,87,0,0,5,0.0
318,1,50,2.11,86,0,0,5,0.0
319,1,50,1.9,85,0,0,5,0.0
320,2,50,2.54,87,0,0,3,0.0
321,2,50,3.49,85,0,0,48,5760.0
322,2,50,4.59,88,0,0,8,0.0
323,2,50,5.0,89,0,0,5,0.0
324,2,50,5.0,90,0,0,8,0.0
325,2,50,5.0,91,0,0,1,0.0
326,2,50,5.0,9,1,0,8,0.0
327,2,50,5.0,7,1,0,7,0.0
328,3,50,4.26,90,0,0,8,0.0
329,3,50,3.6,93,0,0,2,0.0
330,3,50,3.0,91,0,0,2,0.0
331,3,50,2.67,92,0,0,7,0.0
332,3,50,2.74,95,0,0,4,0.0
333,3,50,2.23,95,0,1,102,5000.0
334,3,50,1.95,93,0,1,98,5000.0
335,3,50,1.7,93,0,1,59,5000.0
336,1,50,1.52,97,0,0,7,0.0
337,1,50,2.0,98,0,0,0,0.0
338,1,50,2.23,96,0,0,5,0.0
339,1,50,2.22,94,0,0,3,0.0
340,1,50,1.93,94,0,0,0,0.0
341,1,50,2.02,91,0,0,7,0.0
342,1,50,2.07,94,0,0,4,0.0
343,1,50,1.88,94,0,0,0,0.0
344,2,50,2.71,95,0,0,1,0.0
345,2,50,3.5,95,0,0,6,0.0
346,2,50,4.5,97,0,0,8,0.0
347,2,50,5.0,94,0,0,53,6360.0
348,2,50,5.0,95,0,0,34,4080.0
349,2,50,5.0,97,0,0,60,7200.0
350,2,50,5.0,100,0,0,27,3240.0
351,2,50,5.0,98,0,0,50,6000.0
352,3,50,4.44,96,0,0,66,7920.0
353,3,50,3.9,100,0,0,44,5280.0
354,3,50,3.15,97,0,0,42,5040.0
355,3,50,2.56,99,0,0,1,0.0
356,3,50,2.57,100,0,0,2,0.0
357,3,50,2.12,100,0,1,108,5000.0
358,3,50,2.22,100,0,1,68,5000.0
359,3,50,2.56,98,0,1,91,5000.0
360,1,50,2.53,100,0,0,4,0.0
361,1,50,2.36,100,0,0,7,0.0
362,1,50,2.43,100,0,0,7,0.0
363,1,50,2.35,100,0,0,4,0.0
364,1,50,2.35,100,0,0,7,0.0
365,1,50,2.65,100,0,0,3,0.0
366,1,50,2.45,97,0,0,2,0.0
367,1,50,2.73,100,0,0,1,0.0
368,2,50,4.05,97,0,0,5,0.0
369,2,50,4.59,100,0,0,7,0.0
370,2,50,4.99,100,0,0,7,0.0
371,2,50,5.0,100,0,0,5,0.0
372,2,50,5.0,100,0,0,6,0.0
373,2,50,5.0,100,0,0,1,0.0
374,2,50,5.0,98,0,0,4,0.0
375,2,50,5.0,100,0,0,3,0.0
376,3,50,4.04,100,0,0,1,0.0
377,3,50,3.76,99,0,0,7,0.0
378,3,50,2.95,100,0,0,48,5760.0
379,3,50,2.98,100,0,0,48,5760.0
380,3,50,2.59,97,0,0,56,6720.0
381,3,50,2.2,5,1,0,6,0.0
382,3,50,2.37,100,0,0,8,0.0
383,3,50,2.43,99,0,0,43,5160.0
384,1,50,2.66,99,0,0,36,4320.0
385,1,50,2.71,97,0,0,0,0.0
386,1,50,2.8,97,0,0,0,0.0
387,1,50,2.47,100,0,0,3,0.0
388,1,50,2.16,100,0,0,4,0.0
389,1,50,2.38,97,0,0,1,0.0
390,1,50,2.57,97,0,0,4,0.0
391,1,50,2.84,98,0,0,25,3000.0
392,2,50,3.64,98,0,0,74,8880.0
393,2,50,4.38,100,0,0,2,0.0
394,2,50,5.0,99,0,0,7,0.0
395,2,50,5.0,98,0,0,3,0.0
396,2,50,5.0,98,0,0,7,0.0
397,2,50,5.0,95,0,0,1,0.0
398,2,50,5.0,99,0,0,0,0.0
399,2,50,5.0,100,0,0,37,4440.0
400,3,50,4.37,99,0,0,39,4680.0
401,3,50,3.43,100,0,0,43,5160.0
402,3,50,3.38,98,0,1,118,5000.0
403,3,50,3.05,99,0,1,106,5000.0
404,3,50,3.05,96,0,0,1,0.0
405,3,50,2.68,94,0,0,57,6840.0
406,3,50,2.84,91,0,0,47,5640.0
407,3,50,2.58,94,0,0,20,2400.0
408,1,50,2.12,93,0,0,36,4320.0
409,1,50,2.46,90,0,0,31,3720.0
410,1,50,2.09,93,0,0,2,0.0
411,1,50,2.0,91,0,0,6,0.0
412,1,50,2.41,94,0,0,6,0.0
413,1,50,2.7,96,0,0,6,0.0
414,1,50,2.62,98,0,0,23,2760.0
415,1,50,2.61,95,0,0,6,0.0
416,2,50,3.45,12,1,0,3,0.0
417,2,50,4.11,96,0,0,6,0.0
418,2,50,4.79,5,1,0,3,0.0
419,2,50,5.0,94,0,0,5,0.0
420,2,50,5.0,96,0,0,4,0.0
421,2,50,5.0,96,0,0,2,0.0
422,2,50,5.0,95,0,0,0,0.0
423,2,50,5.0,99,0,0,4,0.0
424,3,50,4.17,97,0,0,0,0.0
425,3,50,3.26,97,0,0,3,0.0
426,3,50,3.0,95,0,0,2,0.0
427,3,50,2.73,98,0,0,2,0.0
428,3,50,2.88,99,0,0,3,0.0
429,3,50,2.58,99,0,0,8,0.0
430,3,50,2.19,99,0,0,2,0.0
431,3,50,1.94,100,0,0,66,7920.0
432,1,50,2.23,100,0,0,6,0.0
433,1,50,2.32,99,0,0,6,0.0
434,1,50,2.0,100,0,0,2,0.0
435,1,50,1.77,100,0,0,3,0.0
436,1,50,2.06,100,0,0,8,0.0
437,1,50,1.8,98,0,0,2,0.0
438,1,50,2.17,5,1,0,5,0.0
439,1,50,2.35,6,1,0,8,0.0
440,2,50,2.81,8,1,0,2,0.0
441,2,50,3.26,13,1,0,8,0.0
442,2,50,4.65,98,0,0,8,0.0
443,2,50,5.0,8,1,0,4,0.0
444,2,50,5.0,97,0,0,2,0.0
445,2,50,5.0,10,1,0,1,0.0
446,2,50,5.0,100,0,0,1,0.0
447,2,50,5.0,12,1,0,4,0.0
448,3,50,4.37,98,0,0,2,0.0
449,3,50,3.64,99,0,0,6,0.0
450,3,50,2.91,100,0,0,0,0.0
451,3,50,2.92,99,0,0,5,0.0
452,3,50,2.76,99,0,0,4,0.0
453,3,50,2.55,98,0,0,60,7200.0
454,3,50,2.77,100,0,0,29,3480.0
455,3,50,2.32,99,0,0,7,0.0
456,1,50,2.29,100,0,0,2,0.0
457,1,50,1.91,98,0,0,5,0.0
458,1,50,1.99,97,0,0,8,0.0
459,1,50,1.74,97,0,0,4,0.0
460,1,50,1.6,95,0,0,8,0.0
461,1,50,1.51,94,0,0,1,0.0
462,1,50,1.84,98,0,0,4,0.0
463,1,50,2.15,100,0,1,53,5000.0
464,2,50,3.14,98,0,0,5,0.0
465,2,50,4.51,99,0,0,2,0.0
466,2,50,5.0,99,0,0,5,0.0
467,2,50,5.0,96,0,0,6,0.0
468,2,50,5.0,93,0,0,4,0.0
469,2,50,5.0,90,0,0,5,0.0
470,2,50,5.0,91,0,0,3,0.0
471,2,50,5.0,94,0,0,5,0.0
472,3,50,4.53,11,1,0,6,0.0
473,3,50,3.5,95,0,0,8,0.0
474,3,50,3.42,98,0,0,33,3960.0
475,3,50,3.09,99,0,0,28,3360.0
476,3,50,3.21,96,0,0,0,0.0
477,3,50,2.6,99,0,0,4,0.0
478,3,50,2.54,98,0,0,8,0.0
479,3,50,2.8,99,0,0,5,0.0
480,1,50,2.65,98,0,0,70,8400.0
481,1,50,2.63,95,0,0,6,0.0
482,1,50,2.66,95,0,0,8,0.0
483,1,50,2.5,99,0,0,6,0.0
484,1,50,2.52,96,0,0,1,0.0
485,1,50,2.51,98,0,0,0,0.0
486,1,50,2.73,95,0,0,0,0.0
487,1,50,2.24,93,0,0,55,6600.0
488,2,50,2.91,97,0,0,8,0.0
489,2,50,4.27,12,1,0,0,0.0
490,2,50,5.0,6,1,0,0,0.0
491,2,50,5.0,8,1,0,8,0.0
492,2,50,5.0,7,1,0,7,0.0
493,2,50,5.0,10,1,0,8,0.0
494,2,50,5.0,8,1,0,6,0.0
495,2,50,5.0,6,1,0,1,0.0
496,3,50,4.07,11,1,0,2,0.0
497,3,50,3.58,9,1,0,4,0.0
498,3,50,2.87,100,0,0,3,0.0
499,3,50,3.04,100,0,0,8,0.0
500,3,50,3.17,97,0,1,54,5000.0
501,3,50,3.04,100,0,0,5,0.0
502,3,50,2.83,100,0,0,32,3840.0
503,3,50,2.51,98,0,0,4,0.0
504,1,50,2.67,100,0,0,6,0.0
505,1,50,2.68,98,0,0,59,7080.0
506,1,50,2.3,98,0,0,60,7200.0
507,1,50,2.59,98,0,0,8,0.0
508,1,50,2.73,5,1,0,2,0.0
509,1,50,2.92,13,1,0,0,0.0
510,1,50,2.89,12,1,0,5,0.0
511,1,50,2.78,100,0,0,3,0.0
512,2,50,3.59,100,0,0,2,0.0
513,2,50,4.92,100,0,0,3,0.0
514,2,50,5.0,100,0,0,4,0.0
515,2,50,5.0,100,0,0,3,0.0
516,2,50,5.0,98,0,1,68,5000.0
517,2,50,5.0,100,0,1,79,5000.0
518,2,50,5.0,100,0,1,72,5000.0
519,2,50,5.0,98,0,0,3,0.0
520,3,50,3.91,9,1,0,6,0.0
521,3,50,3.48,8,1,0,1,0.0
522,3,50,3.02,97,0,0,5,0.0
523,3,50,3.14,96,0,0,37,4440.0
524,3,50,3.13,9,1,0,7,0.0
525,3,50,3.12,99,0,0,8,0.0
526,3,50,2.84,100,0,0,20,2400.0
527,3,50,2.6,8,1,0,2,0.0
528,1,50,2.32,100,0,0,5,0.0
529,1,50,1.97,100,0,0,6,0.0
530,1,50,2.33,100,0,1,80,5000.0
531,1,50,2.54,100,0,0,2,0.0
532,1,50,2.83,100,0,0,7,0.0
533,1,50,3.03,100,0,0,2,0.0
534,1,50,2.83,100,0,0,8,0.0
535,1,50,2.86,97,0,0,1,0.0
536,2,50,4.22,98,0,0,6,0.0
537,2,50,5.0,100,0,0,1,0.0
538,2,50,5.0,100,0,0,1,0.0
539,2,50,5.0,100,0,0,4,0.0
540,2,50,5.0,100,0,0,3,0.0
541,2,50,5.0,100,0,0,8,0.0
542,2,50,5.0,100,0,0,1,0.0
543,2,50,5.0,99,0,0,6,0.0
544,3,50,4.3,100,0,0,1,0.0
545,3,50,3.78,99,0,0,3,0.0
546,3,50,3.21,8,1,0,5,0.0
547,3,50,2.63,9,1,0,8,0.0
548,3,50,2.65,95,0,0,6,0.0
549,3,50,2.54,96,0,0,4,0.0
550,3,50,2.66,9,1,0,7,0.0
551,3,50,2.55,95,0,0,8,0.0
552,1,50,2.73,92,0,0,3,0.0
553,1,50,2.62,90,0,0,2,0.0
554,1,50,2.56,87,0,0,0,0.0
555,1,50,2.75,86,0,0,5,0.0
556,1,50,2.53,86,0,0,25,3000.0
557,1,50,2.17,84,0,0,0,0.0
558,1,50,1.84,85,0,0,5,0.0
559,1,50,2.15,82,0,0,3,0.0
560,2,50,3.18,84,0,0,39,4680.0
561,2,50,4.28,87,0,0,8,0.0
562,2,50,4.84,89,0,0,7,0.0
563,2,50,5.0,91,0,0,2,0.0
564,2,50,5.0,89,0,0,4,0.0
565,2,50,5.0,88,0,0,4,0.0
566,2,50,5.0,86,0,0,54,6480.0
567,2,50,5.0,89,0,0,2,0.0
568,3,50,4.13,87,0,0,3,0.0
569,3,50,3.87,87,0,0,0,0.0
570,3,50,3.27,87,0,0,6,0.0
571,3,50,2.97,91,0,0,1,0.0
572,3,50,2.97,92,0,0,2,0.0
573,3,50,2.68,96,0,0,7,0.0
574,3,50,2.64,100,0,0,5,0.0
575,3,50,2.79,10,1,0,0,0.0
576,1,50,2.97,8,1,0,0,0.0
577,1,50,2.49,100,0,0,1,0.0
578,1,50,2.74,100,0,0,5,0.0
579,1,50,2.58,100,0,0,7,0.0
580,1,50,2.3,100,0,0,0,0.0
581,1,50,2.26,99,0,0,4,0.0
582,1,50,2.61,100,0,0,3,0.0
583,1,50,2.5,97,0,0,4,0.0
584,2,50,3.21,100,0,0,1,0.0
585,2,50,4.24,100,0,0,0,0.0
586,2,50,4.82,100,0,0,2,0.0
587,2,50,5.0,100,0,0,7,0.0
588,2,50,5.0,9,1,0,5,0.0
589,2,50,5.0,10,1,0,2,0.0
590,2,50,5.0,100,0,0,5,0.0
591,2,50,5.0,98,0,0,5,0.0
592,3,50,4.28,100,0,0,0,0.0
593,3,50,3.43,100,0,0,6,0.0
594,3,50,2.96,8,1,0,7,0.0
595,3,50,3.05,96,0,0,2,0.0
596,3,50,2.79,9,1,0,3,0.0
597,3,50,2.75,100,0,0,6,0.0
598,3,50,2.36,11,1,0,6,0.0
599,3,50,2.09,7,1,0,5,0.0
600,1,50,1.8,98,0,0,3,0.0
601,1,50,1.68,8,1,0,2,0.0
602,1,50,1.69,99,0,0,1,0.0
603,1,50,1.61,98,0,0,3,0.0
604,1,50,1.5,98,0,0,7,0.0
605,1,50,1.44,97,0,0,0,0.0
606,1,50,1.65,7,1,0,1,0.0
607,1,50,1.61,5,1,0,1,0.0
608,2,50,2.38,100,0,0,4,0.0
609,2,50,3.28,100,0,0,1,0.0
610,2,50,4.36,100,0,0,8,0.0
611,2,50,4.74,100,0,0,0,0.0
612,2,50,5.0,98,0,0,8,0.0
613,2,50,5.0,100,0,0,6,0.0
614,2,50,5.0,100,0,0,8,0.0
615,2,50,5.0,97,0,0,6,0.0
616,3,50,4.49,96,0,0,47,5640.0
617,3,50,3.49,97,0,0,4,0.0
618,3,50,2.95,99,0,0,4,0.0
619,3,50,2.97,100,0,0,0,0.0
620,3,50,2.94,99,0,0,4,0.0
621,3,50,2.5,97,0,0,6,0.0
